title,category,content
Rainy city packing,packing,"For rainy urban trips, prioritize a compact umbrella, waterproof jacket, water-resistant shoes, quick-dry socks, and a zip bag for electronics. Choose layers rather than bulky outerwear."
Hot sunny destination packing,packing,"For sunny warm destinations, pack sunglasses, sunscreen, breathable clothing, swimwear, sandals, a reusable water bottle, and a hat. Plan outdoor activities early or late to avoid peak heat."
Cold weather packing,packing,"For cold trips, pack thermal layers, warm socks, gloves, a scarf, a hat, moisturizer, and shoes with good traction. Layering helps adjust between outdoor cold and indoor heating."
Museum and food itinerary,itinerary,"For travellers who enjoy museums and food, combine one major museum per day with neighbourhood exploration, a local market, and a relaxed dinner reservation. Avoid overloading the schedule."
Nature and hiking itinerary,itinerary,"For nature-focused trips, check weather before hikes, start early, bring water and snacks, and keep a backup indoor activity in case of rain or storms."
Public transit travel tips,transport,"When using public transit, group activities by neighbourhood, check last train or bus times, and keep the itinerary flexible. Pick accommodation near a central station."
Walking travel tips,transport,"Walking-based itineraries work best when stops are close together. Include breaks, comfortable shoes, and a backup ride option for bad weather or fatigue."
Rainy day itinerary,itinerary,"On rainy days, prioritize indoor markets, galleries, museums, cafes, cooking classes, bookstores, and scenic transit rides. Save parks and viewpoints for clearer weather."
Beach itinerary,itinerary,"For beach trips, include morning beach time, shaded lunch breaks, sunscreen reapplication, hydration, and a dry change of clothes. Watch wind and UV conditions."
Family-friendly pacing,itinerary,"A comfortable itinerary usually has one anchor activity per morning, one lighter afternoon activity, and flexible evenings. Leave buffer time for transportation and meals."
